sigla,nome,mes_ref,data_divulgacao,pontos,delta_pts,url,titulo
ICE,Confiança Empresarial (ICE),2002-02,,97.8,0.20000000000000284,,
ICE,Confiança Empresarial (ICE),2002-03,,98.5,0.7000000000000028,,
ICE,Confiança Empresarial (ICE),2002-04,,99.3,0.7999999999999972,,
ICE,Confiança Empresarial (ICE),2002-05,,99.5,0.20000000000000284,,
ICE,Confiança Empresarial (ICE),2002-06,,99.1,-0.4000000000000057,,
ICE,Confiança Empresarial (ICE),2002-07,,98.7,-0.3999999999999915,,
ICE,Confiança Empresarial (ICE),2002-08,,98.5,-0.20000000000000284,,
ICE,Confiança Empresarial (ICE),2002-09,,98.4,-0.09999999999999432,,
ICE,Confiança Empresarial (ICE),2002-10,,99.0,0.5999999999999943,,
ICE,Confiança Empresarial (ICE),2002-11,,99.0,0.0,,
ICE,Confiança Empresarial (ICE),2002-12,,98.6,-0.4000000000000057,,
ICE,Confiança Empresarial (ICE),2003-01,,98.2,-0.3999999999999915,,
ICE,Confiança Empresarial (ICE),2003-02,,96.8,-1.4000000000000057,,
ICE,Confiança Empresarial (ICE),2003-03,,95.2,-1.5999999999999943,,
ICE,Confiança Empresarial (ICE),2003-04,,93.9,-1.2999999999999972,,
ICE,Confiança Empresarial (ICE),2003-05,,91.8,-2.1000000000000085,,
ICE,Confiança Empresarial (ICE),2003-06,,89.2,-2.5999999999999943,,
ICE,Confiança Empresarial (ICE),2003-07,,86.2,-3.0,,
ICE,Confiança Empresarial (ICE),2003-08,,92.3,6.099999999999994,,
ICE,Confiança Empresarial (ICE),2003-09,,98.4,6.1000000000000085,,
ICE,Confiança Empresarial (ICE),2003-10,,105.2,6.799999999999997,,
ICE,Confiança Empresarial (ICE),2003-11,,104.8,-0.4000000000000057,,
ICE,Confiança Empresarial (ICE),2003-12,,104.4,-0.3999999999999915,,
ICE,Confiança Empresarial (ICE),2004-01,,103.5,-0.9000000000000057,,
ICE,Confiança Empresarial (ICE),2004-02,,103.9,0.4000000000000057,,
ICE,Confiança Empresarial (ICE),2004-03,,104.7,0.7999999999999972,,
ICE,Confiança Empresarial (ICE),2004-04,,104.9,0.20000000000000284,,
ICE,Confiança Empresarial (ICE),2004-05,,109.5,4.599999999999994,,
ICE,Confiança Empresarial (ICE),2004-06,,113.1,3.5999999999999943,,
ICE,Confiança Empresarial (ICE),2004-07,,117.2,4.1000000000000085,,
ICE,Confiança Empresarial (ICE),2004-08,,116.0,-1.2000000000000028,,
