Data;ICE Com Ajuste Sazonal - Índice de Confiança Empresarial (CNAE 2.0)(1428467);ICS Com Ajuste Sazonal - Índice de Confiança de Serviços (CNAE 2.0)(1416217);ICOM Com ajuste Sazonal-Índice de Confiança do Varejo Ampliado (CNAE 2.0)(1416226);ICST Com ajuste Sazonal - Índice de Confiança da Construção (CNAE 2.0)(1416232);Índice de Confiança do Consumidor com Ajuste Sazonal(1006982);ICI Com Ajuste Sazonal - Índice de Confiança da Indústria (CNAE 2.0)(1416212)
10/2022;98,100;97,600;95,300;99,300;87,400;95,700
11/2022;93,300;94,100;88,900;95,200;84,100;93,100
12/2022;93,000;94,200;89,600;95,100;87,800;93,800
01/2023;91,000;91,900;88,200;94,300;86,900;93,500
02/2023;91,500;92,300;89,000;94,900;85,700;92,600
03/2023;92,200;93,500;89,000;95,100;88,000;95,000
04/2023;90,300;93,000;85,600;95,500;87,500;94,200
05/2023;90,000;92,900;87,600;94,700;89,800;92,900
06/2023;92,600;94,800;90,300;94,400;91,700;93,300
07/2023;93,100;95,000;88,700;95,200;94,100;91,100
08/2023;94,000;94,800;90,700;95,400;94,800;91,000
09/2023;93,700;94,400;88,900;96,500;94,600;90,400
10/2023;93,200;94,000;87,700;95,500;92,400;90,900
11/2023;94,000;94,600;87,700;96,500;91,400;93,500
12/2023;93,700;93,400;88,900;96,100;92,800;95,700
01/2024;94,500;95,300;90,700;95,500;90,900;97,200
02/2024;93,100;93,900;89,400;96,900;89,500;97,400
03/2024;94,100;95,200;90,500;96,600;91,600;96,500
04/2024;94,400;94,700;91,600;95,600;93,700;96,700
05/2024;94,600;94,100;91,500;96,500;90,600;98,000
06/2024;95,700;94,400;91,300;96,700;91,900;98,500
07/2024;97,900;94,700;91,800;97,300;93,300;101,500
08/2024;99,500;95,000;90,700;97,200;93,300;101,500
09/2024;97,900;94,500;90,800;96,900;93,500;100,400
10/2024;98,300;95,600;90,000;97,400;92,800;99,900
11/2024;96,900;94,900;92,200;96,200;94,400;99,100
12/2024;95,900;94,300;92,100;96,800;91,300;99,700
01/2025;93,600;91,800;89,300;94,900;86,200;98,400
02/2025;92,500;91,700;85,500;94,300;83,600;98,300
03/2025;92,100;92,900;83,100;95,000;84,300;98,400
04/2025;92,100;90,400;87,500;93,600;84,800;98,000
05/2025;93,200;91,900;88,700;93,300;86,700;98,900
06/2025;91,900;90,700;89,300;94,000;85,900;96,800
07/2025;91,700;89,700;87,100;92,700;86,700;94,800
08/2025;89,600;87,100;83,100;91,600;86,200;90,400
09/2025;90,400;89,000;84,700;92,300;87,500;90,500
10/2025;90,100;88,900;86,200;91,600;88,500;89,800
11/2025;90,100;90,100;89,900;92,600;89,800;89,100
