data_curva,PRAZO_DU,TAXA_PREF,TAXA_IPCA,data_ref
2025-12-03,2268,13.3389,7.171,2025-12-03
2025-12-04,252,13.5976,9.169,2025-12-04
2025-12-04,378,13.0787,8.4718,2025-12-04
2025-12-04,504,12.8143,8.1153,2025-12-04
2025-12-04,630,12.7218,7.9147,2025-12-04
2025-12-04,756,12.7297,7.7857,2025-12-04
2025-12-04,882,12.79,7.6903,2025-12-04
2025-12-04,1008,12.8733,7.6118,2025-12-04
2025-12-04,1134,12.9622,7.5429,2025-12-04
2025-12-04,1260,13.0469,7.4804,2025-12-04
2025-12-04,1386,13.1219,7.4231,2025-12-04
2025-12-04,1512,13.1845,7.3705,2025-12-04
2025-12-04,1638,13.2336,7.322,2025-12-04
2025-12-04,1764,13.2688,7.2776,2025-12-04
2025-12-04,1890,13.2907,7.2368,2025-12-04
2025-12-04,2016,13.3,7.1995,2025-12-04
2025-12-04,2142,13.2975,7.1654,2025-12-04
2025-12-04,2268,13.2842,7.1341,2025-12-04
2025-12-05,252,13.8748,9.3487,2025-12-08
2025-12-05,378,13.4916,8.6357,2025-12-08
2025-12-05,504,13.319,8.2912,2025-12-08
2025-12-05,630,13.2819,8.1039,2025-12-08
2025-12-05,756,13.3197,7.9832,2025-12-08
2025-12-05,882,13.3936,7.8913,2025-12-08
2025-12-05,1008,13.4804,7.813,2025-12-08
2025-12-05,1134,13.5672,7.7423,2025-12-08
2025-12-05,1260,13.6468,7.6772,2025-12-08
2025-12-05,1386,13.7155,7.6171,2025-12-08
2025-12-05,1512,13.7717,7.5616,2025-12-08
2025-12-05,1638,13.8149,7.5105,2025-12-08
2025-12-05,1764,13.8452,7.4638,2025-12-08
2025-12-05,1890,13.8634,7.4211,2025-12-08
2025-12-05,2016,13.8703,7.3821,2025-12-08
2025-12-05,2142,13.8668,7.3465,2025-12-08
2025-12-05,2268,13.8538,7.3141,2025-12-08
2025-12-08,252,13.7882,9.3265,2025-12-08
2025-12-08,378,13.3794,8.601,2025-12-08
2025-12-08,504,13.2065,8.2648,2025-12-08
2025-12-08,630,13.1782,8.0891,2025-12-08
2025-12-08,756,13.226,7.978,2025-12-08
2025-12-08,882,13.3078,7.8925,2025-12-08
2025-12-08,1008,13.4,7.8179,2025-12-08
2025-12-08,1134,13.4896,7.7491,2025-12-08
2025-12-08,1260,13.57,7.6845,2025-12-08
2025-12-08,1386,13.6377,7.624,2025-12-08
2025-12-08,1512,13.6915,7.5677,2025-12-08
2025-12-08,1638,13.7312,7.5156,2025-12-08
2025-12-08,1764,13.7573,7.4676,2025-12-08
2025-12-08,1890,13.7705,7.4237,2025-12-08
2025-12-08,2016,13.772,7.3836,2025-12-08
2025-12-08,2142,13.7627,7.3469,2025-12-08
2025-12-08,2268,13.7438,7.3133,2025-12-08
2025-12-09,252,13.7591,9.3183,2025-12-10
2025-12-09,378,13.3513,8.6129,2025-12-10
2025-12-09,504,13.1887,8.3004,2025-12-10
2025-12-09,630,13.1738,8.1452,2025-12-10
2025-12-09,756,13.2346,8.0494,2025-12-10
2025-12-09,882,13.328,7.9743,2025-12-10
2025-12-09,1008,13.43,7.9059,2025-12-10
2025-12-09,1134,13.5276,7.84,2025-12-10
2025-12-09,1260,13.6141,7.7762,2025-12-10
2025-12-09,1386,13.6866,7.7149,2025-12-10
2025-12-09,1512,13.7437,7.6568,2025-12-10
2025-12-09,1638,13.7856,7.6023,2025-12-10
2025-12-09,1764,13.8127,7.5516,2025-12-10
2025-12-09,1890,13.8262,7.5048,2025-12-10
2025-12-09,2016,13.8271,7.4618,2025-12-10
2025-12-09,2142,13.8166,7.4223,2025-12-10
2025-12-09,2268,13.7959,7.386,2025-12-10
2025-12-10,252,13.776,9.3508,2025-12-11
2025-12-10,378,13.4042,8.6392,2025-12-11
2025-12-10,504,13.2677,8.3298,2025-12-11
2025-12-10,630,13.2691,8.1793,2025-12-11
2025-12-10,756,13.3392,8.0872,2025-12-11
2025-12-10,882,13.4376,8.0141,2025-12-11
2025-12-10,1008,13.5417,7.9461,2025-12-11
2025-12-10,1134,13.6399,7.8795,2025-12-11
2025-12-10,1260,13.726,7.8141,2025-12-11
2025-12-10,1386,13.7975,7.7508,2025-12-11
2025-12-10,1512,13.8534,7.6904,2025-12-11
2025-12-10,1638,13.894,7.6336,2025-12-11
2025-12-10,1764,13.92,7.5806,2025-12-11
2025-12-10,1890,13.9324,7.5316,2025-12-11
2025-12-10,2016,13.9324,7.4864,2025-12-11
2025-12-10,2142,13.9212,7.4449,2025-12-11
2025-12-11,252,13.7569,9.3352,2025-12-12
2025-12-11,378,13.3469,8.6204,2025-12-12
2025-12-11,504,13.187,8.2951,2025-12-12
2025-12-11,630,13.1768,8.1276,2025-12-12
2025-12-11,756,13.2425,8.0213,2025-12-12
2025-12-11,882,13.34,7.9377,2025-12-12
2025-12-11,1008,13.4451,7.8626,2025-12-12
2025-12-11,1134,13.5448,7.7915,2025-12-12
2025-12-11,1260,13.6325,7.7236,2025-12-12
2025-12-11,1386,13.7051,7.6593,2025-12-12
2025-12-11,1512,13.7616,7.5989,2025-12-12
2025-12-11,1638,13.8022,7.5427,2025-12-12
2025-12-11,1764,13.8275,7.4907,2025-12-12
2025-12-11,1890,13.8386,7.4429,2025-12-12
2025-12-11,2016,13.8368,7.3992,2025-12-12
2025-12-11,2142,13.8233,7.3591,2025-12-12
2025-12-12,252,13.6529,9.2162,2025-12-15
2025-12-12,378,13.2121,8.4989,2025-12-15
2025-12-12,504,13.0387,8.1847,2025-12-15
2025-12-12,630,13.0248,8.0321,2025-12-15
2025-12-12,756,13.0917,7.94,2025-12-15
2025-12-12,882,13.1927,7.8685,2025-12-15
2025-12-12,1008,13.302,7.8032,2025-12-15
2025-12-12,1134,13.4059,7.7398,2025-12-15
2025-12-12,1260,13.4972,7.6781,2025-12-15
2025-12-12,1386,13.5728,7.6185,2025-12-15
2025-12-12,1512,13.6316,7.5619,2025-12-15
2025-12-12,1638,13.6737,7.5086,2025-12-15
2025-12-12,1764,13.6997,7.4591,2025-12-15
2025-12-12,1890,13.711,7.4133,2025-12-15
2025-12-12,2016,13.7086,7.3712,2025-12-15
2025-12-12,2142,13.694,7.3325,2025-12-15
2025-12-15,252,13.6306,9.1915,2025-12-16
2025-12-15,378,13.1941,8.4652,2025-12-16
2025-12-15,504,13.0208,8.1456,2025-12-16
2025-12-15,630,13.0037,7.9908,2025-12-16
2025-12-15,756,13.0659,7.8988,2025-12-16
2025-12-15,882,13.1616,7.8288,2025-12-16
2025-12-15,1008,13.2656,7.7657,2025-12-16
2025-12-15,1134,13.3645,7.7049,2025-12-16
2025-12-15,1260,13.4515,7.6457,2025-12-16
2025-12-15,1386,13.5233,7.5886,2025-12-16
2025-12-15,1512,13.579,7.5343,2025-12-16
2025-12-15,1638,13.6185,7.4832,2025-12-16
2025-12-15,1764,13.6426,7.4356,2025-12-16
2025-12-15,1890,13.6524,7.3916,2025-12-16
2025-12-15,2016,13.6492,7.3511,2025-12-16
2025-12-15,2142,13.6341,7.3139,2025-12-16
2025-12-16,252,13.6641,9.2492,2025-12-17
2025-12-16,378,13.2573,8.555,2025-12-17
